repository,total_loc,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,repository_full_name,popularidade_estrelas,atividade_releases,maturidade_anos
Android-Touch-Helper,2257,4.127272727272727,3.0,5.171340342963413,1.181818181818182,1.0,0.3892494720807614,1.945454545454545,0.0,8.444630513633173,zfdang/Android-Touch-Helper,5239,112,4.9
android-Ultra-Pull-To-Refresh,5476,4.055900621118012,2.0,4.389260255448759,1.4161490683229814,1.0,0.754644007224434,19.142857142857142,0.0,138.95646157802707,liaohuqiu/android-Ultra-Pull-To-Refresh,9565,8,10.83
Android-Universal-Image-Loader,7434,4.864285714285714,3.0,4.877212782122245,1.5857142857142856,1.0,0.9595091242435791,28.84285714285714,0.5,99.81899239912497,nostra13/Android-Universal-Image-Loader,16915,0,13.79
android-volley,4965,5.090909090909091,3.0,5.390767546441236,1.893939393939394,1.0,2.7580764836074865,15.818181818181818,0.0,94.16963888787105,mcxiaoke/android-volley,4280,0,12.31
Android-Week-View,2003,3.6296296296296298,2.0,7.201218636977344,1.2592592592592593,1.0,0.5943705521611524,238.33333333333331,0.0,1189.257590005048,alamkanak/Android-Week-View,3449,4,10.98
Android-ZBLibrary,14727,5.377358490566038,3.0,6.410932347813381,1.559748427672956,1.0,1.0331489640596767,26.666666666666668,0.0,131.61058449695398,TommyLemon/Android-ZBLibrary,5599,25,10.06
android-zxingLibrary,2018,4.711538461538462,3.0,5.709766447136402,1.3269230769230769,1.0,0.5848128189279914,5.634615384615385,0.0,15.308627384523737,yipianfengye/android-zxingLibrary,5015,0,9.13
androidannotations,28800,5.95742471443406,4.0,6.418629850787938,1.6832814122533748,1.0,0.8995268048812524,26.09865005192108,1.0,213.1771530301953,androidannotations/androidannotations,11039,0,13.68
AndroidAsync,18086,3.613259668508287,2.0,5.022602883362448,1.5322283609576428,1.0,1.746470348555155,19.44014732965009,0.0,84.11027514648913,koush/AndroidAsync,7548,0,13.05
AndroidAutoLayout,2370,5.833333333333333,5.0,4.652653667229719,2.0,2.0,0.7025001733142089,8.807692307692308,8.0,16.370751311454786,hongyangAndroid/AndroidAutoLayout,6674,0,9.81
