repository,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
JDA,8.85107967237528,6.0,12.413762611982035,1.8227848101265822,1.0,1.1891908809872977,127.26731198808638,3.0,1223.021337925716
JFoenix,6.92,4.0,6.9389657214183496,1.6235294117647059,1.0,0.9612353317112713,22.084705882352942,1.0,88.53177329898469
JGrowing,1.5263157894736843,1.0,1.6789024540730166,1.0,1.0,0.0,1.9473684210526316,1.0,4.402949569581816
JKeyboardPanelSwitch,5.2,3.0,5.066899385990913,1.3,1.0,0.4629100498862758,7.38,0.0,13.705190436398878
JS-Sorting-Algorithm,3.5833333333333335,3.0,3.67938565359474,1.0,1.0,0.0,2.8333333333333335,0.5,4.468746688915917
JSON-java,3.1868131868131866,2.0,4.825653871439112,1.2197802197802199,1.0,0.628970902033151,361.0769230769231,3.0,1542.9930094949968
JSqlParser,6.358282208588957,4.0,13.705366763667758,1.5447852760736196,1.0,0.8950555810389841,513.7472392638036,1.0,8223.244242670193
Java,2.0639573617588276,2.0,1.458277544061522,1.043970686209194,1.0,0.2794016639298975,7.962025316455696,1.0,27.368020698655297
Java-WebSocket,3.5555555555555554,2.0,4.1270423589392236,1.8199233716475096,1.0,1.3509774217600798,36.62068965517241,6.0,184.14627806213713
JavaEETest,3.5194805194805197,3.0,3.395923698729388,1.0974025974025974,1.0,0.35735924180805473,3.2662337662337664,0.0,9.688644527569245
JavaSourceCodeLearning,2.854889589905363,2.0,2.962489609625344,1.2586750788643533,1.0,0.4733019065301481,3.138801261829653,0.0,9.482477635237704
JavaTutorial,0.3333333333333333,0.0,0.5773502691896258,1.0,1.0,0.0,0.3333333333333333,0.0,0.5773502691896258
JeecgBoot,7.221271393643032,4.0,9.106802028133764,1.184596577017115,1.0,0.46298208111127687,50.50366748166259,0.0,300.624422557758
Jetpack-MVVM-Best-Practice,4.840336134453781,3.0,5.079008299834223,1.6218487394957983,1.0,1.0734989254899412,12.0,0.0,68.96781366720202
JiaoZiVideoPlayer,7.27536231884058,6.0,6.446348847970898,2.1159420289855073,2.0,0.9782371883086125,56.63768115942029,4.0,213.1836388031864
JsBridge,3.5,1.5,5.003224766539689,1.15625,1.0,0.36890203262847354,17.09375,0.0,51.74026907108608
JsonPath,4.557065217391305,3.0,4.80315564708474,1.486413043478261,1.0,1.0923714487589542,29.29076086956522,0.0,118.93177913742312
JustAuth,5.51010101010101,2.0,6.031844343369494,1.3434343434343434,1.0,0.5816415796170478,12.984848484848484,6.0,19.531954105905555
JustTrustMe,2.5555555555555554,1.0,4.449142815742353,1.1851851851851851,1.0,0.4833407013879894,2.7037037037037037,0.0,9.06733280609707
KnowStreaming,7.19593147751606,4.0,8.052290557041582,1.8190578158458244,1.0,1.0938886899987217,10.322269807280515,0.0,44.61157834690863
LQRWeChat,5.005181347150259,2.0,7.781761833913644,1.4170984455958548,1.0,0.7760157152295901,18.935233160621763,1.0,74.02781823262896
LSPatch,4.342465753424658,2.0,5.896156967175969,1.3493150684931507,1.0,0.8597711464018596,23.876712328767123,0.0,186.88122321912192
LSPosed,5.522248243559719,3.0,7.247233346434144,1.6463700234192038,1.0,1.2869896760042594,48.114754098360656,0.0,319.8492506456958
LSPosed_mod,5.574944071588367,3.0,7.230856800915114,1.6241610738255035,1.0,1.2642542072124778,50.20134228187919,0.0,327.86996314639777
Launcher3,7.240404040404041,3.0,10.898687031356848,1.4747474747474747,1.0,0.8643417379183258,63.68080808080808,0.0,728.6932325985592
LayoutManagerGroup,4.9523809523809526,3.0,4.327066246794411,1.5714285714285714,2.0,0.5301942953139068,9.142857142857142,0.0,38.801753012800326
Leaf,3.475,1.5,4.2486045974697415,1.425,1.0,1.0349656255904571,11.25,0.0,35.05874191432694
